Building_Type,,na,ab,bc,cd,de,ee
built_pre_1919,,0,0.104351931,0.143436183,0.232961344,0.426592653,1
built_inter_war,,0,0.104351931,0.143436183,0.232961344,0.426592653,1
built_between_1945_to_1966,,0,0.104456925,0.143614571,0.233387917,0.427094637,1
built_between_1967_to_1976,,0,0.115254334,0.158431389,0.2585922,0.473294874,1
built_post_1976,,0,0.106772576,0.148502521,0.24770047,0.451129711,1
built_temp,,0,0.115254334,0.158431389,0.2585922,0.473294874,1
built_total,,0,0.107846863,0.148674815,0.242746028,0.443111759,1
